indicador;titulo;descricao;leitura;nota
IDHM;Índice de Desenvolvimento Humano Municipal (IDHM);Medida-síntese da condição de vida da população em três dimensões básicas: Longevidade, Educação e Renda.;Varia de 0 a 1. Quanto maior o valor, maior o desenvolvimento humano sintetizado.;É calculado pela média geométrica dos índices de Longevidade, Educação e Renda.
IDHM ajustado;IDHM ajustado por sexo;Índice calculado para homens e mulheres que incorpora, na dimensão Renda, a desigualdade dos rendimentos do trabalho.;Quanto maior o valor, maior o desenvolvimento humano no recorte selecionado, considerando o ajuste da renda do trabalho.;"É disponibilizado apenas para o recorte por sexo; não corresponde ao IDHMAD."
IDHM Longevidade;IDHM Longevidade;Dimensão associada a uma vida longa e saudável, calculada a partir da esperança de vida ao nascer.;Valores mais altos representam melhores condições sintetizadas de longevidade.;A nota técnica adota valores mínimo e máximo de 25 e 85 anos no cálculo da dimensão.
IDHM Educação;IDHM Educação;Dimensão de acesso ao conhecimento, combinando escolaridade da população adulta e frequência escolar.;Valores mais altos representam melhor resultado educacional sintetizado.;"A escolaridade considera pessoas de 18 anos ou mais com ensino fundamental completo; a frequência escolar reúne quatro indicadores por faixa etária."
IDHM Renda;IDHM Renda;Dimensão associada ao acesso a um padrão de vida decente, baseada na renda domiciliar per capita.;Valores mais altos representam maior nível sintetizado de renda.;Nas tabelas por raça/cor, o Radar apresenta esta dimensão como IDHM Renda.
IDHM Renda ajustado;IDHM Renda ajustado por sexo;Dimensão de renda que considera a desigualdade dos rendimentos do trabalho entre homens e mulheres.;Valores mais altos representam melhor situação de renda após o ajuste previsto para o recorte por sexo.;O ajuste incide apenas sobre a parcela da renda total proveniente do trabalho.
IDHMAD;IDHM Ajustado à Desigualdade (IDHMAD);Medida que ajusta o IDHM às desigualdades existentes na população nas dimensões Longevidade, Educação e Renda.;É igual ao IDHM quando não há desigualdade e se torna menor à medida que a desigualdade aumenta.;O Radar informa que o IDHMAD não é calculado de forma desagregada por sexo ou raça/cor.
IDHMAD Longevidade;IDHMAD Longevidade;Resultado da dimensão Longevidade após considerar desigualdades na distribuição associada à esperança de vida.;Quanto maior o valor, melhor o resultado ajustado à desigualdade nessa dimensão.;"Componente do IDHMAD; a diferença frente ao IDHM Longevidade indica perda pela desigualdade."
IDHMAD Educação;IDHMAD Educação;Resultado da dimensão Educação após considerar as desigualdades internas do acesso ao conhecimento.;Quanto maior o valor, melhor o resultado educacional ajustado à desigualdade.;"Componente do IDHMAD; pode ser comparado ao IDHM Educação para observar perdas."
IDHMAD Renda;IDHMAD Renda;Resultado da dimensão Renda após considerar desigualdades internas de distribuição.;Quanto maior o valor, melhor o resultado de renda ajustado à desigualdade.;"Componente do IDHMAD; pode ser comparado ao IDHM Renda para observar perdas."
Perda pela desigualdade no IDHM;Perda pela desigualdade no IDHM;Percentual do desenvolvimento humano que deixa de ser alcançado quando as desigualdades internas são consideradas.;Ao contrário dos índices, valores menores representam melhor resultado: menor perda pela desigualdade.;Expressa a distância percentual entre IDHM e IDHMAD.
Perda pela desigualdade no IDHM Longevidade;Perda pela desigualdade no IDHM Longevidade;Percentual de perda da dimensão Longevidade decorrente das desigualdades internas.;Valores menores representam menor perda pela desigualdade.;Expressa a distância percentual entre IDHM Longevidade e IDHMAD Longevidade.
Perda pela desigualdade no IDHM Educação;Perda pela desigualdade no IDHM Educação;Percentual de perda da dimensão Educação decorrente das desigualdades internas.;Valores menores representam menor perda pela desigualdade.;Expressa a distância percentual entre IDHM Educação e IDHMAD Educação.
Perda pela desigualdade no IDHM Renda;Perda pela desigualdade no IDHM Renda;Percentual de perda da dimensão Renda decorrente das desigualdades internas.;Valores menores representam menor perda pela desigualdade.;Expressa a distância percentual entre IDHM Renda e IDHMAD Renda.
