tabela_num;nivel_geo;localidade;sigla_uf;tipo_recorte;categoria_recorte;indicador;ano;valor;unidade;faixa;ranking_ano;total_ranking;ranking_publicacao;classificacao_publicacao
1;Brasil;Brasil;BR;Total;Total;IDHM;2012;0.744;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Longevidade;2012;0.829;Índice;Muito alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Educação;2012;0.679;Índice;Médio;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Renda;2012;0.732;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM;2013;0.752;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Longevidade;2013;0.833;Índice;Muito alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Educação;2013;0.692;Índice;Médio;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Renda;2013;0.737;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM;2014;0.76;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Longevidade;2014;0.837;Índice;Muito alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Educação;2014;0.708;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Renda;2014;0.741;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM;2015;0.762;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Longevidade;2015;0.839;Índice;Muito alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Educação;2015;0.717;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Renda;2015;0.736;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM;2016;0.767;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Longevidade;2016;0.843;Índice;Muito alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Educação;2016;0.73;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Renda;2016;0.734;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM;2017;0.77;Índice;Alto;;;;
1;Brasil;Brasil;BR;Total;Total;IDHM Longevidade;2017;0.845;Índice;Muito alto;;;;
